Datum;Gemeinde;Geschlecht;Staatsangehoerigkeit;Anzahl;Jahr;Wohnviertel-Name;Wohnviertel-ID
31. Dezember 2014;Basel;M;Kroatien;69;2014;Matthäus;17
31. Dezember 2014;Basel;M;Lettland;1;2014;Matthäus;17
31. Dezember 2014;Basel;M;Liechtenstein;3;2014;Matthäus;17
31. Dezember 2014;Basel;M;Neuseeland;3;2014;Matthäus;17
31. Dezember 2014;Basel;M;Niederlande;23;2014;Matthäus;17
31. Dezember 2014;Basel;M;Nigeria;13;2014;Matthäus;17
31. Dezember 2014;Basel;M;Pakistan;10;2014;Matthäus;17
31. Dezember 2014;Basel;M;Philippinen;7;2014;Matthäus;17
31. Dezember 2014;Basel;M;Rumänien;16;2014;Matthäus;17
31. Dezember 2014;Basel;M;Äthiopien;4;2014;Matthäus;17
31. Dezember 2014;Basel;W;Bulgarien;18;2014;Matthäus;17
31. Dezember 2014;Basel;W;Indien;172;2014;Matthäus;17
31. Dezember 2014;Basel;W;Kolumbien;7;2014;Matthäus;17
31. Dezember 2014;Basel;W;Madagaskar;1;2014;Matthäus;17
31. Dezember 2014;Basel;W;Malta;1;2014;Matthäus;17
31. Dezember 2014;Basel;W;Nordmazedonien;231;2014;Matthäus;17
31. Dezember 2014;Basel;W;Norwegen;3;2014;Matthäus;17
31. Dezember 2014;Basel;W;Philippinen;5;2014;Matthäus;17
31. Dezember 2014;Basel;W;Rumänien;33;2014;Matthäus;17
31. Dezember 2014;Basel;W;Saudi-Arabien;2;2014;Matthäus;17
31. Dezember 1980;Basel;M;Marokko;2;1980;Matthäus;17
31. Dezember 1980;Basel;M;Trinidad und Tobago;1;1980;Matthäus;17
31. Dezember 1980;Basel;W;Libanon;2;1980;Matthäus;17
31. Dezember 1980;Basel;W;Schweden;5;1980;Matthäus;17
31. Dezember 1980;Basel;W;Sierra Leone;1;1980;Matthäus;17
31. Dezember 1980;Basel;W;Trinidad und Tobago;1;1980;Matthäus;17
31. Dezember 1986;Basel;W;Vietnam;14;1986;Matthäus;17
31. Dezember 1996;Basel;M;Ungarn;18;1996;Matthäus;17
31. Dezember 1996;Basel;W;Frankreich;38;1996;Matthäus;17
31. Dezember 1996;Basel;W;Kenia;1;1996;Matthäus;17
31. Dezember 1996;Basel;W;Kuba;5;1996;Matthäus;17
31. Dezember 1996;Basel;W;Norwegen;2;1996;Matthäus;17
31. Dezember 1996;Basel;M;Australien;5;1996;Matthäus;17
31. Dezember 1996;Basel;M;Philippinen;2;1996;Matthäus;17
31. Dezember 1996;Basel;M;Slowakei;3;1996;Matthäus;17
31. Dezember 1996;Basel;W;Vietnam;25;1996;Matthäus;17
31. Dezember 1997;Basel;M;Angola;3;1997;Matthäus;17
31. Dezember 1997;Basel;M;Aserbaidschan;1;1997;Matthäus;17
31. Dezember 1997;Basel;M;Côte d'Ivoire;2;1997;Matthäus;17
31. Dezember 1997;Basel;M;Finnland;2;1997;Matthäus;17
31. Dezember 1997;Basel;M;Ghana;4;1997;Matthäus;17
31. Dezember 1997;Basel;M;Slowenien;9;1997;Matthäus;17
31. Dezember 1997;Basel;M;Somalia;1;1997;Matthäus;17
31. Dezember 1997;Basel;M;Tschechien;4;1997;Matthäus;17
31. Dezember 1997;Basel;M;Tschechoslowakei;2;1997;Matthäus;17
31. Dezember 1997;Basel;M;Uruguay;1;1997;Matthäus;17
31. Dezember 1997;Basel;W;Bulgarien;2;1997;Matthäus;17
31. Dezember 1997;Basel;W;Litauen;1;1997;Matthäus;17
31. Dezember 1997;Basel;W;Peru;4;1997;Matthäus;17
31. Dezember 1997;Basel;W;Schweiz;4285;1997;Matthäus;17
31. Dezember 1997;Basel;W;Thailand;6;1997;Matthäus;17
31. Dezember 1997;Basel;W;Tschechien;6;1997;Matthäus;17
31. Dezember 1997;Basel;W;Ukraine;2;1997;Matthäus;17
31. Dezember 1997;Basel;W;Ungarn;5;1997;Matthäus;17
31. Dezember 1997;Basel;W;Österreich;21;1997;Matthäus;17
31. Dezember 2022;Basel;M;Honduras;2;2022;Matthäus;17
31. Dezember 2022;Basel;M;Mongolei;1;2022;Matthäus;17
31. Dezember 2022;Basel;M;Montenegro;1;2022;Matthäus;17
31. Dezember 2022;Basel;M;Tunesien;17;2022;Matthäus;17
31. Dezember 2022;Basel;M;Ägypten;9;2022;Matthäus;17
31. Dezember 2022;Basel;W;Ecuador;2;2022;Matthäus;17
31. Dezember 2022;Basel;W;Guinea-Bissau;1;2022;Matthäus;17
31. Dezember 2022;Basel;W;Israel;2;2022;Matthäus;17
31. Dezember 2022;Basel;W;Liechtenstein;3;2022;Matthäus;17
31. Dezember 2020;Basel;W;Syrien;37;2020;Matthäus;17
31. Dezember 2024;Basel;M;Kolumbien;9;2024;Matthäus;17
31. Dezember 2024;Basel;M;Pakistan;10;2024;Matthäus;17
31. Dezember 2024;Basel;M;Serbien;111;2024;Matthäus;17
31. Dezember 2024;Basel;M;Uruguay;1;2024;Matthäus;17
31. Dezember 2024;Basel;M;Usbekistan;1;2024;Matthäus;17
31. Dezember 2024;Basel;M;Venezuela;3;2024;Matthäus;17
31. Dezember 2024;Basel;M;Ägypten;10;2024;Matthäus;17
31. Dezember 2024;Basel;W;Algerien;6;2024;Matthäus;17
31. Dezember 2024;Basel;W;Angola;5;2024;Matthäus;17
31. Dezember 2024;Basel;W;Argentinien;5;2024;Matthäus;17
31. Dezember 2024;Basel;W;Australien;1;2024;Matthäus;17
31. Dezember 2024;Basel;W;Belarus;5;2024;Matthäus;17
31. Dezember 2024;Basel;W;Dänemark;8;2024;Matthäus;17
31. Dezember 2024;Basel;W;Kirgisistan;1;2024;Matthäus;17
31. Dezember 2024;Basel;W;Litauen;12;2024;Matthäus;17
31. Dezember 2024;Basel;W;Togo;2;2024;Matthäus;17
31. Dezember 2013;Basel;M;Dominikanische Republik;10;2013;Matthäus;17
31. Dezember 2013;Basel;M;Paraguay;1;2013;Matthäus;17
31. Dezember 2013;Basel;M;Schweden;10;2013;Matthäus;17
31. Dezember 2013;Basel;M;Usbekistan;1;2013;Matthäus;17
31. Dezember 2013;Basel;W;Mali;1;2013;Matthäus;17
31. Dezember 2018;Basel;M;Nordmazedonien;202;2018;Matthäus;17
31. Dezember 2018;Basel;M;Philippinen;4;2018;Matthäus;17
31. Dezember 2018;Basel;W;Algerien;7;2018;Matthäus;17
31. Dezember 2018;Basel;W;Ghana;1;2018;Matthäus;17
31. Dezember 2018;Basel;W;Indien;131;2018;Matthäus;17
31. Dezember 2018;Basel;W;Irland;6;2018;Matthäus;17
31. Dezember 2018;Basel;W;Israel;1;2018;Matthäus;17
31. Dezember 2018;Basel;W;Korea (Süd-);6;2018;Matthäus;17
31. Dezember 2018;Basel;W;Liechtenstein;4;2018;Matthäus;17
31. Dezember 2018;Basel;W;Luxemburg;2;2018;Matthäus;17
31. Dezember 2018;Basel;W;Nigeria;4;2018;Matthäus;17
31. Dezember 2018;Basel;W;Nordmazedonien;198;2018;Matthäus;17
31. Dezember 2018;Basel;W;Peru;2;2018;Matthäus;17
31. Dezember 2018;Basel;W;Russland;23;2018;Matthäus;17
31. Dezember 2018;Basel;W;Senegal;1;2018;Matthäus;17
31. Dezember 2018;Basel;W;Slowenien;20;2018;Matthäus;17
31. Dezember 2018;Basel;W;Togo;2;2018;Matthäus;17
31. Dezember 2018;Basel;M;Albanien;6;2018;Matthäus;17
31. Dezember 2018;Basel;M;Griechenland;28;2018;Matthäus;17
31. Dezember 2018;Basel;M;Israel;3;2018;Matthäus;17
31. Dezember 2018;Basel;M;Kamerun;10;2018;Matthäus;17
31. Dezember 2018;Basel;M;Vereinigte Staaten;48;2018;Matthäus;17
31. Dezember 2018;Basel;W;El Salvador;1;2018;Matthäus;17
31. Dezember 2017;Basel;M;Litauen;1;2017;Matthäus;17
31. Dezember 2017;Basel;M;Luxemburg;2;2017;Matthäus;17
31. Dezember 2017;Basel;M;Myanmar;2;2017;Matthäus;17
31. Dezember 2017;Basel;M;Simbabwe;4;2017;Matthäus;17
31. Dezember 2017;Basel;M;Sudan;1;2017;Matthäus;17
31. Dezember 2001;Basel;M;Angola;11;2001;Matthäus;17
31. Dezember 2001;Basel;M;Argentinien;8;2001;Matthäus;17
31. Dezember 2001;Basel;M;Bosnien und Herzegowina;159;2001;Matthäus;17
31. Dezember 2001;Basel;M;Dominikanische Republik;13;2001;Matthäus;17
31. Dezember 2001;Basel;M;Eritrea;1;2001;Matthäus;17
31. Dezember 2001;Basel;M;Guinea-Bissau;1;2001;Matthäus;17
31. Dezember 2001;Basel;M;Kongo (Brazzaville);3;2001;Matthäus;17
31. Dezember 2001;Basel;M;Schweden;2;2001;Matthäus;17
31. Dezember 2001;Basel;W;El Salvador;2;2001;Matthäus;17
31. Dezember 2001;Basel;W;Irak;7;2001;Matthäus;17
31. Dezember 2001;Basel;W;Ruanda;1;2001;Matthäus;17
31. Dezember 2001;Basel;W;Tschechien;3;2001;Matthäus;17
31. Dezember 1992;Basel;M;Pakistan;6;1992;Matthäus;17
31. Dezember 1992;Basel;W;Kanada;5;1992;Matthäus;17
31. Dezember 1992;Basel;W;Kroatien;56;1992;Matthäus;17
31. Dezember 1992;Basel;W;Kuba;3;1992;Matthäus;17
31. Dezember 1992;Basel;W;Marokko;4;1992;Matthäus;17
31. Dezember 1992;Basel;W;Norwegen;2;1992;Matthäus;17
31. Dezember 1994;Basel;M;Nordmazedonien;170;1994;Matthäus;17
31. Dezember 1994;Basel;M;Singapur;1;1994;Matthäus;17
31. Dezember 1994;Basel;M;Tschechien;1;1994;Matthäus;17
31. Dezember 1994;Basel;W;Italien;865;1994;Matthäus;17
31. Dezember 1994;Basel;W;Kolumbien;3;1994;Matthäus;17
31. Dezember 1994;Basel;W;Norwegen;2;1994;Matthäus;17
31. Dezember 1994;Basel;M;Ghana;6;1994;Matthäus;17
31. Dezember 1994;Basel;M;Senegal;2;1994;Matthäus;17
31. Dezember 1994;Basel;M;Spanien;445;1994;Matthäus;17
31. Dezember 1994;Basel;M;Togo;1;1994;Matthäus;17
31. Dezember 1987;Basel;M;Italien;1286;1987;Matthäus;17
31. Dezember 1987;Basel;W;Peru;1;1987;Matthäus;17
31. Dezember 1988;Basel;M;Kuba;1;1988;Matthäus;17
31. Dezember 1989;Basel;M;Indien;14;1989;Matthäus;17
31. Dezember 1989;Basel;W;Indien;9;1989;Matthäus;17
31. Dezember 1989;Basel;W;Sri Lanka;8;1989;Matthäus;17
31. Dezember 2017;Basel;M;Brasilien;18;2017;Matthäus;17
31. Dezember 2017;Basel;M;Thailand;10;2017;Matthäus;17
31. Dezember 2017;Basel;M;Tunesien;11;2017;Matthäus;17
31. Dezember 2017;Basel;M;Ägypten;5;2017;Matthäus;17
31. Dezember 1992;Basel;M;Algerien;5;1992;Matthäus;17
31. Dezember 1992;Basel;M;Haiti;1;1992;Matthäus;17
31. Dezember 1992;Basel;M;Kroatien;51;1992;Matthäus;17
31. Dezember 1992;Basel;W;Luxemburg;1;1992;Matthäus;17
31. Dezember 2000;Basel;M;Malaysia;2;2000;Matthäus;17
31. Dezember 2000;Basel;M;Mali;2;2000;Matthäus;17
31. Dezember 2000;Basel;M;Nordmazedonien;249;2000;Matthäus;17
31. Dezember 2000;Basel;W;Finnland;6;2000;Matthäus;17
31. Dezember 2000;Basel;W;Schweden;4;2000;Matthäus;17
31. Dezember 2000;Basel;W;Venezuela;3;2000;Matthäus;17
31. Dezember 1990;Basel;M;Angola;1;1990;Matthäus;17
31. Dezember 1983;Basel;M;Algerien;10;1983;Matthäus;17
31. Dezember 1983;Basel;M;Italien;1374;1983;Matthäus;17
31. Dezember 1983;Basel;M;Jordanien;4;1983;Matthäus;17
31. Dezember 1983;Basel;M;Portugal;13;1983;Matthäus;17
31. Dezember 1983;Basel;M;San Marino;1;1983;Matthäus;17
31. Dezember 1983;Basel;M;Schweden;5;1983;Matthäus;17
31. Dezember 1983;Basel;M;Sri Lanka;3;1983;Matthäus;17
31. Dezember 1983;Basel;M;Ungarn;31;1983;Matthäus;17
31. Dezember 1983;Basel;M;Vietnam;20;1983;Matthäus;17
31. Dezember 1983;Basel;W;China;2;1983;Matthäus;17
31. Dezember 1983;Basel;W;Frankreich;36;1983;Matthäus;17
31. Dezember 2023;Basel;M;Bosnien und Herzegowina;47;2023;Matthäus;17
31. Dezember 2023;Basel;W;Belgien;7;2023;Matthäus;17
31. Dezember 2023;Basel;W;Schweden;14;2023;Matthäus;17
31. Dezember 2024;Basel;M;Belgien;16;2024;Matthäus;17
31. Dezember 2024;Basel;M;Irland;10;2024;Matthäus;17
31. Dezember 2013;Basel;M;Simbabwe;4;2013;Matthäus;17
31. Dezember 2013;Basel;M;Slowakei;23;2013;Matthäus;17
31. Dezember 2013;Basel;W;Irland;5;2013;Matthäus;17
31. Dezember 2016;Basel;M;Côte d'Ivoire;5;2016;Matthäus;17
31. Dezember 2016;Basel;M;Indonesien;3;2016;Matthäus;17
31. Dezember 2011;Basel;M;Frankreich;62;2011;Matthäus;17
31. Dezember 2011;Basel;M;Schweiz;3814;2011;Matthäus;17
31. Dezember 2011;Basel;W;Deutschland;607;2011;Matthäus;17
31. Dezember 2011;Basel;W;Japan;13;2011;Matthäus;17
31. Dezember 2020;Basel;M;China;33;2020;Matthäus;17
31. Dezember 2020;Basel;M;Georgien;1;2020;Matthäus;17
31. Dezember 2020;Basel;M;Kolumbien;12;2020;Matthäus;17
31. Dezember 2020;Basel;M;Malaysia;4;2020;Matthäus;17
31. Dezember 2020;Basel;M;Nicaragua;1;2020;Matthäus;17
31. Dezember 2020;Basel;M;Slowenien;17;2020;Matthäus;17
31. Dezember 2020;Basel;M;Staat unbekannt oder nicht angegeben;8;2020;Matthäus;17
31. Dezember 2020;Basel;M;Tansania;1;2020;Matthäus;17
31. Dezember 2020;Basel;M;Vereinigtes Königreich;71;2020;Matthäus;17
31. Dezember 2011;Basel;M;Israel;4;2011;Matthäus;17
31. Dezember 2011;Basel;W;Ecuador;2;2011;Matthäus;17
31. Dezember 2011;Basel;W;Korea (Süd-);5;2011;Matthäus;17
31. Dezember 2011;Basel;W;Mali;1;2011;Matthäus;17
31. Dezember 2011;Basel;W;Mexiko;3;2011;Matthäus;17
31. Dezember 2011;Basel;W;Neuseeland;3;2011;Matthäus;17
31. Dezember 2011;Basel;W;Nigeria;5;2011;Matthäus;17
31. Dezember 2011;Basel;W;Sri Lanka;66;2011;Matthäus;17
31. Dezember 2011;Basel;W;Staat unbekannt oder nicht angegeben;1;2011;Matthäus;17
31. Dezember 2011;Basel;W;Ägypten;2;2011;Matthäus;17
31. Dezember 2011;Basel;M;Mali;1;2011;Matthäus;17
31. Dezember 2011;Basel;M;Staat unbekannt oder nicht angegeben;4;2011;Matthäus;17
31. Dezember 2011;Basel;M;Taiwan;2;2011;Matthäus;17
31. Dezember 2011;Basel;M;Türkei;527;2011;Matthäus;17
31. Dezember 2011;Basel;W;Armenien;1;2011;Matthäus;17
31. Dezember 2016;Basel;M;Staat unbekannt oder nicht angegeben;5;2016;Matthäus;17
31. Dezember 2016;Basel;W;Kosovo;201;2016;Matthäus;17
31. Dezember 2016;Basel;W;Serbien;178;2016;Matthäus;17
31. Dezember 2016;Basel;W;Slowakei;26;2016;Matthäus;17
31. Dezember 2016;Basel;W;Tunesien;4;2016;Matthäus;17
31. Dezember 2016;Basel;W;Vietnam;12;2016;Matthäus;17
31. Dezember 2020;Basel;M;Ägypten;4;2020;Matthäus;17
31. Dezember 2020;Basel;W;Afghanistan;10;2020;Matthäus;17
31. Dezember 2007;Basel;M;Ghana;5;2007;Matthäus;17
31. Dezember 2007;Basel;M;Portugal;231;2007;Matthäus;17
31. Dezember 2007;Basel;W;Bangladesch;5;2007;Matthäus;17
31. Dezember 2007;Basel;W;Griechenland;7;2007;Matthäus;17
31. Dezember 2007;Basel;W;Niederlande;17;2007;Matthäus;17
31. Dezember 2007;Basel;M;Frankreich;54;2007;Matthäus;17
31. Dezember 2007;Basel;W;Bulgarien;4;2007;Matthäus;17
31. Dezember 2007;Basel;W;Malta;1;2007;Matthäus;17
31. Dezember 1984;Basel;M;Bolivien;2;1984;Matthäus;17
31. Dezember 1984;Basel;M;El Salvador;5;1984;Matthäus;17
31. Dezember 1984;Basel;M;Ex-Jugoslawien;260;1984;Matthäus;17
31. Dezember 1984;Basel;M;Japan;5;1984;Matthäus;17
31. Dezember 1984;Basel;M;Jordanien;4;1984;Matthäus;17
31. Dezember 1984;Basel;M;Südafrika;1;1984;Matthäus;17
31. Dezember 1984;Basel;M;Tschechoslowakei;27;1984;Matthäus;17
31. Dezember 1984;Basel;M;Türkei;478;1984;Matthäus;17
31. Dezember 1984;Basel;W;Algerien;1;1984;Matthäus;17
31. Dezember 1984;Basel;W;Brasilien;3;1984;Matthäus;17
31. Dezember 1984;Basel;W;Schweiz;5556;1984;Matthäus;17
31. Dezember 1984;Basel;W;Sri Lanka;1;1984;Matthäus;17
31. Dezember 1984;Basel;W;Thailand;1;1984;Matthäus;17
31. Dezember 1984;Basel;W;Vereinigtes Königreich;13;1984;Matthäus;17
31. Dezember 2019;Basel;M;Belgien;21;2019;Matthäus;17
31. Dezember 2019;Basel;M;Bolivien;5;2019;Matthäus;17
31. Dezember 2019;Basel;M;Deutschland;744;2019;Matthäus;17
31. Dezember 2019;Basel;M;Dominikanische Republik;16;2019;Matthäus;17
31. Dezember 2019;Basel;M;Ecuador;2;2019;Matthäus;17
31. Dezember 2019;Basel;M;Finnland;6;2019;Matthäus;17
31. Dezember 2019;Basel;M;Indien;144;2019;Matthäus;17
