Datum;Gemeinde;Geschlecht;Staatsangehoerigkeit;Anzahl;Jahr;Wohnviertel-Name;Wohnviertel-ID
31. Dezember 2023;Basel;W;Dominica;1;2023;Matthäus;17
31. Dezember 2023;Basel;W;Eritrea;75;2023;Matthäus;17
31. Dezember 2023;Basel;W;Frankreich;91;2023;Matthäus;17
31. Dezember 2023;Basel;W;Moldova;1;2023;Matthäus;17
31. Dezember 2023;Basel;W;Nigeria;3;2023;Matthäus;17
31. Dezember 2023;Basel;W;Senegal;2;2023;Matthäus;17
31. Dezember 2023;Basel;W;Slowenien;17;2023;Matthäus;17
31. Dezember 2023;Basel;W;Vietnam;14;2023;Matthäus;17
31. Dezember 2023;Basel;W;Österreich;49;2023;Matthäus;17
31. Dezember 2023;Basel;M;Angola;5;2023;Matthäus;17
31. Dezember 2023;Basel;M;Australien;3;2023;Matthäus;17
31. Dezember 2023;Basel;M;Belgien;20;2023;Matthäus;17
31. Dezember 2023;Basel;M;Finnland;4;2023;Matthäus;17
31. Dezember 2023;Basel;M;Griechenland;25;2023;Matthäus;17
31. Dezember 2023;Basel;M;Jemen;1;2023;Matthäus;17
31. Dezember 2023;Basel;M;Lettland;5;2023;Matthäus;17
31. Dezember 2023;Basel;M;Mexiko;2;2023;Matthäus;17
31. Dezember 2023;Basel;M;Portugal;319;2023;Matthäus;17
31. Dezember 2023;Basel;M;Russland;17;2023;Matthäus;17
31. Dezember 2023;Basel;M;Slowenien;16;2023;Matthäus;17
31. Dezember 2023;Basel;M;Staatenlos;1;2023;Matthäus;17
31. Dezember 2023;Basel;M;Vietnam;12;2023;Matthäus;17
31. Dezember 2023;Basel;M;Ägypten;8;2023;Matthäus;17
31. Dezember 2023;Basel;W;Afghanistan;16;2023;Matthäus;17
31. Dezember 2023;Basel;W;Angola;4;2023;Matthäus;17
31. Dezember 2023;Basel;W;Australien;3;2023;Matthäus;17
31. Dezember 2023;Basel;W;China;23;2023;Matthäus;17
31. Dezember 2023;Basel;W;Finnland;5;2023;Matthäus;17
31. Dezember 2023;Basel;W;Georgien;1;2023;Matthäus;17
31. Dezember 2023;Basel;W;Guinea;1;2023;Matthäus;17
31. Dezember 2023;Basel;W;Indien;115;2023;Matthäus;17
31. Dezember 2023;Basel;W;Jordanien;2;2023;Matthäus;17
31. Dezember 2023;Basel;W;Kongo (Brazzaville);2;2023;Matthäus;17
31. Dezember 2023;Basel;W;Litauen;9;2023;Matthäus;17
31. Dezember 2023;Basel;W;Montenegro;1;2023;Matthäus;17
31. Dezember 2023;Basel;W;Pakistan;2;2023;Matthäus;17
31. Dezember 2023;Basel;W;Togo;2;2023;Matthäus;17
31. Dezember 2023;Basel;W;Uganda;2;2023;Matthäus;17
31. Dezember 2023;Basel;M;Indonesien;1;2023;Matthäus;17
31. Dezember 2023;Basel;M;Luxemburg;3;2023;Matthäus;17
31. Dezember 2023;Basel;M;Slowakei;35;2023;Matthäus;17
31. Dezember 2023;Basel;M;Staat unbekannt oder nicht angegeben;16;2023;Matthäus;17
31. Dezember 2023;Basel;W;Bangladesch;5;2023;Matthäus;17
